std_mz,meanMZ,sdevMZ,meanRT,sdevRT,meanInt,sdevInt,selectedCount,totalCount,eliminated,samplesFound
124.0807302,124.0800142,0.00104688265287449,103.85119,0.3163121996804198,4518.4566,1276.9747023171776,10,10,0,10
136.1463818,136.1469471111111,4.5912292592578576e-4,577.3064111111112,1.1736099133064162,6928.577666666666,1070.8296925653021,9,9,0,9
155.0897,155.0899842,1.9693416835816444e-4,273.95356,0.18772994315120045,38833.597,11547.570859909436,10,10,0,10
176.1583118,176.1588639,6.7583700368872e-4,454.7371,1.0185086646661403,7228.0621,2589.818195366979,10,10,0,10
204.1441423,204.1446013,3.7993919104236464e-4,74.55826,0.26347364700604725,15516.4827,3516.491604965541,10,10,0,10
218.0657781,218.0817465,0.0010040634940050351,597.73665,1.1786187521840836,4812.373666666666,2016.5025510201235,6,10,0,7
235.148076,235.149402,6.264480114966998e-4,35.33472,0.1458067732003943,12095.7597,2627.5745493582754,10,11,0,10
275.2346132,275.2352295,5.060617551307621e-4,320.59859,0.6241157219084672,24963.873,5342.040768313589,10,10,0,10
284.2491156,284.25038666666666,7.175635860311608e-4,349.5262666666667,0.9965777804567053,5719.277666666667,1406.1656768619055,9,9,0,9
300.049067,300.0497923,9.228446420250776e-4,161.28937,2.2545182279394234,3779.1712,1224.5220181016482,10,10,0,10
304.2069,304.1775086,7.792158237549863e-4,4.41176,0.22926665261219284,195791.9,38717.60374282428,5,16,0,8
127.073232,127.07329949999999,NA,359.03135,NA,25071.773,NA,2,2,0,2
130.1092854,130.109302,4.7941240076092864e-4,576.4066666666666,0.9997310063212118,6462.624777777778,4506.717947701264,9,9,0,9
135.06709,135.067505,NA,85.8228,NA,9565.078,NA,1,1,0,1
136.051099,136.06263233333334,2.046468502943309e-4,355.9338,0.5279798102200549,4996.0436666666665,1497.0183373440466,3,7,0,4
136.112637,0,0,0,0,0,0,0,0,0,0
152.071164,152.0573002222222,5.156788675547396e-4,455.3968777777778,0.5398882471812546,12001.837222222222,6858.11071668823,9,21,0,11
172.133771,172.1336458,4.3309029081464706e-4,453.83138,0.9903330308537558,13600.507,16195.894422476533,5,5,0,5
207.149747,207.149475,NA,102.0767,NA,30608.887,NA,1,2,1,1
212.118787,212.1189377,2.825298607604627e-4,343.87399,0.33413730195168456,87548.3268,97742.21032524534,10,10,0,10
233.024854,233.025116,NA,147.4644,NA,18436.631,NA,1,1,0,1
237.102795,237.097775,0.0024762283820351084,159.8216,0.4736981264476361,14302.51911111111,15698.015490067492,9,43,0,11
242.143948,242.144318,NA,37.4831,NA,108548.594,NA,1,1,0,1
250.06503,250.0651854,4.740105952860657e-4,309.62908,0.31609941403861863,40563.4643,25243.62024893586,10,10,0,10
254.059949,254.0601042857143,4.3430815261824557e-4,255.95860000000002,0.3528450131904114,20084.906714285717,34541.38687698081,7,7,0,7
268.191281,268.1913696,4.637650746296652e-4,319.82899,0.5284358290695748,161654.1224,74249.23277422346,10,10,0,10
277.101743,277.076111,NA,712.4517,NA,2295.769,NA,1,1,0,1
278.190884,278.1908966,4.525955270559017e-4,296.91134,0.765779952727933,38208.374,18470.379307731062,10,30,0,10
278.212033,278.1908966,4.525955270559017e-4,296.91134,0.765779952727933,38208.374,18470.379307731062,10,30,0,10
308.152982,308.152893,NA,74.157,NA,68297.148,NA,1,1,0,1
325.171628,325.1441372727273,5.938789591981848e-4,37.14081818181818,0.2849960695103769,12755.320181818182,4954.405279229562,11,42,0,11
346.122556,0,0,0,0,0,0,0,0,0,0
389.163205,389.1628846,0.001542168040991702,464.71639,0.7050263453706244,9391.0074,7351.313207233433,10,10,0,10
285.185,285.18515,NA,119.2615,NA,13353.473,NA,1,2,1,1
423.170041,423.1998679090909,0.0014323690484328337,13.485318181818181,0.4437748186145352,6598.659090909091,1877.8016171413024,11,40,0,11
436.234891,436.254718875,0.0018443595433112541,699.5487,3.041766456706192,3542.72475,784.2092827363932,8,88,4,11
559.260831,559.2586060000001,NA,410.76165000000003,NA,29016.229000000003,NA,2,2,0,2
734.468517,0,0,0,0,0,0,0,0,0,0
748.484167,748.4824524999999,NA,493.7873,NA,16438.085,NA,2,3,0,3
