36.5667,19895.7,0,0,0,0,0
37.7455,270976,0,0,0,0,0
38.9244,3.12002e+06,1,0.831256,-0.0347033,29,232.163
40.2034,3.65634e+07,1,0.831736,0.00640607,30,232.163
41.5489,2.50524e+07,1,0.841168,0.998189,31,232.162
42.8288,1.16414e+07,1,0.844375,0.484106,32,232.163
44.0691,2.90913e+07,1,0.829149,0.559565,33,232.163
45.2823,1.04054e+07,1,0.826266,0.825545,34,232.163
46.4683,5.09836e+06,1,0.807897,0.581986,35,232.162
47.7413,5.85811e+06,1,0.830962,0.844469,36,232.162
48.9762,6.99998e+06,1,0.812686,0.998894,37,232.162
50.155,4.57445e+06,0,0,0,0,0
51.4626,2.98938e+06,1,0.830229,0.644908,39,232.163
52.689,3.01903e+06,1,0.815407,0.83689,40,232.162
53.8679,3.67084e+06,0,0,0,0,0
55.2289,4.46337e+06,1,0.835196,0.728815,42,232.162
56.5459,6.5258e+06,1,0.834965,0.851387,43,232.162
57.8232,3.01362e+06,1,0.844683,0.998965,44,232.162
59.0977,4.00591e+06,1,0.840815,0.998966,45,232.163
60.3369,2.77718e+06,1,0.842879,0.998929,46,232.163
61.5867,3.0327e+06,1,0.809821,0.998875,47,232.162
62.8566,2.31528e+06,1,0.844772,0.99879,48,232.163
64.0767,2.23518e+06,1,0.849329,0.998723,49,232.162
65.3556,1.31578e+06,1,0.827269,0.998675,50,232.163
66.5345,1.53838e+06,0,0,0,0,0
67.9116,1.79863e+06,1,0.842002,0.820237,52,232.162
69.1868,1.83649e+06,1,0.82459,0.699104,53,232.163
70.4654,3.5214e+06,1,0.844889,0.82763,54,232.162
71.7813,5.29177e+06,1,0.839191,0.778285,55,232.162
72.9602,477349,0,0,0,0,0
74.139,36402.4,0,0,0,0,0
